measured,latency_ns,http_status,error_code,trade_id
false,92679750,200,,814
false,33865416,200,,811
false,35780666,200,,812
false,35472167,200,,815
false,93316750,200,,757
false,83429792,200,,817
false,81658292,200,,810
false,34902208,200,,816
false,205760625,200,,758
false,95532625,200,,813
false,84842250,200,,820
false,85336709,200,,819
false,161080708,200,,827
false,17483375,200,,825
false,86047834,200,,821
false,34054541,200,,826
false,158612041,200,,829
false,34714000,200,,818
false,161605625,200,,824
false,20118750,200,,828
false,157223583,200,,759
false,86126000,200,,822
false,161457458,200,,823
false,50859292,200,,831
false,151590916,200,,830
false,161700625,200,,832
false,18356500,200,,834
false,84789875,200,,835
false,73246291,200,,837
false,47859792,200,,833
false,84822709,200,,839
false,16781000,200,,840
false,163848667,200,,841
false,100298750,200,,836
false,100332875,200,,838
false,137593500,200,,842
false,20072208,200,,845
false,79360458,200,,843
false,141294167,200,,844
false,236013125,200,,846
false,233427000,200,,847
false,23736458,200,,848
false,181161334,200,,849
false,234874250,200,,850
false,15229291,200,,852
false,189001875,200,,854
false,13078209,200,,855
false,83648625,200,,857
false,137656416,200,,853
false,83563584,200,,856
false,119919958,200,,860
false,86274084,200,,858
false,96192750,200,,859
false,135533916,200,,861
false,88073250,200,,862
false,123849875,200,,863
false,82079083,200,,864
false,126441208,200,,865
false,138820583,200,,866
false,130810167,200,,870
false,83418750,200,,867
false,129281959,200,,869
false,12916833,200,,868
false,168476209,200,,871
false,204983000,200,,872
false,258411833,200,,875
false,16920834,200,,873
false,76853167,200,,876
false,66788041,200,,877
false,150801834,200,,878
false,82201875,200,,880
false,72340583,200,,881
false,90955750,200,,879
false,91577041,200,,882
false,85546042,200,,883
false,76291625,200,,886
false,15079708,200,,884
false,13474209,200,,885
false,131780834,200,,874
false,89086792,200,,887
false,218105250,200,,889
false,78920167,200,,888
false,99375042,200,,894
false,223084417,200,,890
false,16746042,200,,891
false,153817083,200,,893
false,83869125,200,,896
false,140996041,200,,895
false,85258209,200,,897
false,228617166,200,,898
false,76209208,200,,899
false,76357125,200,,900
false,107941542,200,,902
false,14439792,200,,901
